movielens_NDCG;;;;;movielens_RANK;;;;;movielens_regression;;;;;;;N = 10;;N=20;;N=50;
seed;N=10; N=20; n=50;;seed;N=10; N=20; n=50;;seed;N=10; N=20; n=50;;;;Paper;Evaluation;Paper;Evaluation;Paper;Evaluation
0;0.642801;0.642801;0.642801;;0;0.607719;0.607719;0.607719;;0;0.684419;0.684419;0.684419;;Movielens;NDCG;0.6400 pm 0.0061;0.6351 pm 0.0083;0.6307 pm 0.0062;0.6329 pm 0.0036;0.6076 pm 0.0077;0.6101 pm 0.0034
1;0.63879;0.63879;0.63879;;1;0.605305;0.605305;0.605305;;1;0.698761;0.698761;0.698761;;;Ordinal;0.6233 pm 0.0039;0.6057 pm 0.0015;0.6686 pm 0.0058;0.6269 pm 0.0053;0.7169 pm 0.0059;0.6451 pm 0.0027
2;0.623903;0.623903;0.623903;;2;0.604284;0.604284;0.604284;;2;0.695344;0.695344;0.695344;;;Regression;0.6420 pm 0.0252;0.6935 pm 0.0081;0.6509 pm 0.0190;0.7086 pm 0.0089;0.6584 pm 0.0187;0.7169 pm 0.0049
3;0.637311;0.637311;0.637311;;3;0.607971;0.607971;0.607971;;3;0.68498;0.68498;0.68498;;;;;;;;;
4;0.62975;0.62975;0.62975;;4;0.60636;0.60636;0.60636;;4;0.706363;0.706363;0.706363;;Netflix;NDCG;0.6081 pm 0.0000;0.6097 pm 0.0050;0.6204 pm 0.0000;0.6007 pm 0.0222;;
5;0.629335;0.629335;0.629335;;5;0.605225;0.605225;0.605225;;5;0.694985;0.694985;0.694985;;;Regression;0.6082 pm 0.0000;0.6700 pm 0.0137;0.6281 pm 0.0000;0.6308 pm 0.0159;;
6;0.635968;0.635968;0.635968;;6;0.604555;0.604555;0.604555;;6;0.689667;0.689667;0.689667;;;;;;;;;
7;0.633791;0.633791;0.633791;;7;0.605145;0.605145;0.605145;;7;0.690761;0.690761;0.690761;;;;N = 10;;N=20;;N=50;
8;0.6522;0.6522;0.6522;;8;0.606749;0.606749;0.606749;;8;0.684758;0.684758;0.684758;;;;Paper;Evaluation;Paper;Evaluation;Paper;Evaluation
9;0.62746;0.62746;0.62746;;9;0.603265;0.603265;0.603265;;9;0.705037;0.705037;0.705037;;Movielens;NDCG;0.64;0.6351;0.6307;0.6329;0.6076;0.6101
;;;;;;;;;;;;;;;;Ordinal;0.6233;0.6057;0.6686;0.6269;0.7169;0.6451
mean;0.635131;0.632973;0.610124;;mean;0.605658;0.626932;0.645139;;mean;0.693507;0.708642;0.716856;;;Regression;0.642;0.6935;0.6509;0.7086;0.6584;0.7169
std dev;0.008288;0.003611;0.002362;;std dev;0.001516;0.005312;0.002664;;std dev;0.008066;0.008939;0.004976;;;;;;;;;
possibly due to less samples in N=50 ;;;;;;;;;;;;;;;Netflix;NDCG;0.6081;0.6097;0.6204;0.6007;;
;;;;;;;;;;;;;;;;Regression;0.6082;0.67;0.6281;0.6308;;
;;;;;;;;;;;;;;;;;;;;;;
netflix_NDCG;;;;;netflix_regression;;;;;;;;;;;;Evaluation - Paper;;;;;
seed;N=10; N=20;;;seed;N=10; N=20;;;;;;;;;;N=10;N=20;N=50;;;
0;0.613005;0.613005;;;0;0.650515;0.650515;;;;;;;;Movielens;NDCG;-0.0049;0.0022;0.0025;;;
1;0.614703;0.614703;;;1;0.672415;0.672415;;;;;;;;;Ordinal;-0.0176;-0.0417;-0.0718;;;
2;0.612238;0.612238;;;2;0.67267;0.67267;;;;;;;;;Regression;0.0515;0.0577;0.0585;;;
3;0.603892;0.603892;;;3;0.666046;0.666046;;;;;;;;;;;;;;;
4;0.604683;0.604683;;;4;0.688384;0.688384;;;;;;;;Netflix;NDCG;0.0016;-0.0197;;;;
;;;;;;;;;;;;;;;;Regression;0.0618;0.0027;;;;
mean;0.6097042;0.6006816;;;mean;0.670006;0.6308338;;;;;;;;;;;;;;;
std dev;0.005032334;0.022188964;;;std dev;0.013658621;0.015995514;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
regression got done much fewer iterations in the same time as NDCG (always < 10);;;;;;;;;;;;;;;;;;;;;;
"for N=20 even fewer iterations were done than for N=10; probably bigger impact for regression case";;;;;;;;;;;;;;;;;;;;;;
"on movielens all the runs were successful (converged or reached 30 iterations; paper doesn't say how many)";;;;;;;;;;;;;;;;;;;;;;
"less samples for higher N (34M for N=10; 56M for N=20 -> 56/2 = 28 -> less samples) due to many users with very few samples in netflix data";;;;;;;;;;;;;;;;;;;;;;
