movielens_ndcg;;;;;movielens_rank;;;;;movielens_regression;;;;;;;;;;;;
seed;N=10; N=20; n=50;;seed;N=10; N=20; n=50;;seed;N=10; N=20; n=50;;;;;;;;;
0;0.609213;0.609213;0.609213;;0;0.54611;0.54611;0.54611;;0;0.636796;0.636796;0.636796;;;;;;;;;
1;0.568704;0.568704;0.568704;;1;0.545773;0.545773;0.545773;;1;0.672805;0.672805;0.672805;;;;;;;;;
2;0.594044;0.594044;0.594044;;2;0.548243;0.548243;0.548243;;2;0.632039;0.632039;0.632039;;;;;;;;;
3;0.596249;0.596249;0.596249;;3;0.547652;0.547652;0.547652;;3;0.678268;0.678268;0.678268;;;;;;;;;
4;0.602554;0.602554;0.602554;;4;0.55754;0.55754;0.55754;;4;0.650421;0.650421;0.650421;;;;;;;;;
5;0.576469;0.576469;0.576469;;5;0.556388;0.556388;0.556388;;5;0.639265;0.639265;0.639265;;;;;;;;;
6;0.596832;0.596832;0.596832;;6;0.567588;0.567588;0.567588;;6;0.666188;0.666188;0.666188;;;;;;;;;
7;0.594707;0.594707;0.594707;;7;0.550436;0.550436;0.550436;;7;0.664293;0.664293;0.664293;;;;N = 10;;N=20;;N=50;
8;0.58406;0.58406;0.58406;;8;0.551359;0.551359;0.551359;;8;0.642947;0.642947;0.642947;;;;Paper;Evaluation;Paper;Evaluation;Paper;Evaluation
9;0.573811;0.573811;0.573811;;9;0.551554;0.551554;0.551554;;9;0.66518;0.66518;0.66518;;Movielens;NDCG;0.64;0.5897;0.6307;0.6051;0.6076;0.6101
;;;;;;;;;;;;;;;;Ordinal;0.6233;0.5523;0.6686;0.5912;0.7169;0.6522
mean;0.5896643;0.6051042;0.6101239;;mean;0.5522643;0.5911729;0.6522313;;mean;0.6548202;0.6823911;0.7168561;;;Regression;0.642;0.6548;0.6509;0.6824;0.6584;0.7169
std dev;0.013265772;0.006725081;0.00236186;;std dev;0.006681459;0.00598924;0.003460088;;std dev;0.016484618;0.005441871;0.004976138;;;;;;;;;
;;;;;;;;;;;;;;;Netflix;NDCG;0.6081;0.5961;0.6204;0.5866;;
;;;;;;;;;;;;;;;;Regression;0.6082;0.6947;0.6281;0.6544;;
;;;;;;;;;;;;;;;;;;;;;;
netflix_ndcg;;;;;netflix_regression;;;;;;;;;;;;Evaluation - Paper;;;;;
seed;N=10; N=20;;;seed;N=10; N=20;;;;;;;;;;N=10;N=20;N=50;;;
0;0.597947;0.597947;;;0;0.711208;0.711208;;;;;;;;Movielens;NDCG;-0.0503;-0.0256;0.0025;;;
1;0.59668;0.59668;;;1;0.679205;0.679205;;;;;;;;;Ordinal;-0.071;-0.0774;-0.0647;<-- had not been completely finished;;
2;0.597429;0.597429;;;2;0.696113;0.696113;;;;;;;;;Regression;0.0128;0.0315;0.0585;;;
3;0.594697;0.594697;;;3;0.695684;0.695684;;;;;;;;;;;;;;;
4;0.593943;0.593943;;;4;0.691512;0.691512;;;;;;;;Netflix;NDCG;-0.012;-0.0338;;;;
;;;;;;;;;;;;;;;;Regression;0.0865;0.0263;;;;
mean;0.5961392;0.5865566;;;mean;0.6947444;0.6544222;;;;;;;;;;;;;;;
std dev;0.001741223;0.011460005;;;std dev;0.011464373;0.012583844;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"ndcg worse than before in both cases; still declining with more training examples -> overfitting?";;;;;;;;;;;;;;;;;;;;;;
netflix_regression is now actually better since ig could finish;;;;;;;;;;;;;;;;;;;;;;
